home vet stone like ca take gon see sure number
say pussi shuttin biggest paid sit knew loc feel might
said way right realli put racist got trip run gang
waldorf record forest lil nigga full caught dick sayin sweet
like hard trey ta name rich free go got come
money got parti marco might soon time dick matter red
cloth head deadli shit tour go shine seem stand round
citi boss babi hopeless car floor want lawyer make grow
last fire wrong drug get gunna realli shit real rude
yeah hoe blood built hoe buy got huh like hold
dap beat hey got weed miss us wrong pack side
ca lil use make life new heart done came judg
ever nigga nigga best never cartier paid clayco ride last
like ta flood put go dawg find late know social
care yah got ballin two wo rose talk use stoppin
back mill job yen ta everybodi leadin young pray mad
dior boy without advanc gettin yet choke big took crib
need go invest say show na would royc take cum
mill ask sold floor gon ballin came skeezer money get
want ai roarin go everyth got clone thin make street
state
