good correct lose f oh charl wo work presid rider
decemb shoulder uh fresh ray choru album nigga still watch
yeah frank damn shawti gone see act like thang even
well packard much vacat cold bluff intent huh act fuck
misunderst love lost bring tryna lick silverwar dark lil thoma
outro ici mail yeah whine ai ho lollipop nigga bitch
babi alway tunechi interlud dress coffe hair jump wayn bitch
love find might nigga anoth jacuzzi fuck grindin dancer ca
keep though take parkin trigger talkin nigga mixin rider die
perfect ball gangster worri human blunt limit damn say right
right gon next casket asshol pressur love roll give real
bitch money switchin seat bitch death like wayn like gal
bitch shit lip keep friend wayn woah hangin one tell
life pocket spin might heaven ai say goon hook write
hoe friend fuckin live blue make unknown hump nigga talkin
nigga pass dick mean nigga tongu mani splinter ask light
mirror fear pop shit everi like wayn yeah pictur surpris
bang hey want polit bass take say wait hard seat
woke nigga smart yeah bust one tast could nigga white
tryna top cushion yeah told goon choru stunt tryna go
even
