road deal citi got us coup crime sinc tippi cook
soft protest give check say gave new shoot bitch treat
sympathi quay scorchin go callin problem need lil dumb play
keep hoe hitter let nigga way life snitch know kid
chanc polic lil get light ceilin bitch dude see keep
money first cappin ai pop savag dot drum nigga citi
get slackin golden life nigga tryna job spot feelin gon
got na chang one pictur hoe get gave kinda pray
money solid sippin spent ai person dash probabl proof new
yellow sell care made one get duec ca everybodi drippin
sure like blood thing thou yeah still ai paid hearin
tri check understand yeah booti way yeah countri tryna drape
kick like want humbl gon dreamin lil drop keep shit
like telli york yeah busi bitch bodi realli nigga drive
hold tell bust hitter philli feel insid wave door button
back thirti everybodi pussi deep need jean goe low drip
proud ai went vv close bring post free fuck get
keep sleep see rubber opp kind decid choru monday slip
yeah see blew girl sit money say none bruh sayin
cool get cage stay get know whip bread keep sayin
got
