choru kidd home lil want cutthroat hour teeth drug make
bitch prepar also blew loos togeth bow wayn make skrt
hey fight hehe anywher softer shark limit mind want nigga
mind could street like whip sent yeah two motherfuck confus
clip back never suu swerv moon beat green moon like
aid money deep carter tear sit got diamond need yeah
act sky next flow adam talkin nigga shit feel busi
ah someon futur kill true kiss louder yeah pussi fuck
mom everyth gun big ass yeah scale front love deaf
trippin head ai yeah beat later say go everyth ooh
autostart holli want haha hotter victoria yeah sit beat could
make ass make get got said say air got night
humbl hearin gun shoot one see got say nigga tail
grindin wayn closet nigga fuck right tivo rake tell lil
clean seat cri pussi ashton buka super work bitch snapback
heard found bitch work hobbi lil lay west fame would
hallelujah like oh yeah guilt bluff boo mark chyeah like
away pray murder chang look bitch lie heard sleep come
bitch vandal wiser scarboroug know board greatest drug wayn rememb
black song cool nigga see went mother die sanctifyin na
hahahah
